Age group 3 6,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
,Persons,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"136,470","136,667","136,882","137,231","137,682","138,067","137,869","137,709","138,736","139,873","141,644","143,918","144,415","143,942","144,095","144,636","146,891","149,740","152,259","155,792","159,193","162,133","167,200","173,734","179,709","182,657"
0 to 4 years,"7,954","7,578","7,322","7,224","7,071","6,896","6,772","6,830","6,992","7,117","7,181","7,358","7,282","7,176","7,156","7,119","7,215","7,324","7,363","7,268","7,153","7,112","7,174","7,154","7,254","7,218"
5 to 9 years,"9,239","9,082","8,796","8,482","8,341","8,199","7,846","7,574","7,495","7,421","7,344","7,435","7,569","7,615","7,684","7,752","8,020","8,150","8,171","8,271","8,294","8,250","8,427","8,533","8,576","8,535"
10 to 14 years,"10,133","10,013","9,946","9,878","9,671","9,443","9,294","8,972","8,771","8,736","8,638","8,398","8,111","7,996","7,945","7,850","7,880","8,136","8,363","8,620","8,762","8,883","9,081","9,220","9,453","9,581"
15 to 19 years,"10,147","10,272","10,227","10,112","10,119","10,073","9,924","9,933","9,908","9,803","9,760","9,757","9,482","9,127","9,002","8,983","8,866","8,722","8,851","8,981","9,137","8,934","9,358","9,793","10,148","10,165"
20 to 24 years,"8,943","9,026","9,107","9,203","9,247","9,307","9,247","9,103","9,012","9,052","9,277","9,486","9,604","9,448","9,114","9,002","9,095","9,351","9,530","10,453","11,541","12,161","12,832","14,223","14,736","14,339"
25 to 29 years,"8,485","8,139","7,994","7,981","8,002","8,041","8,068","7,925","7,921","7,853","7,973","8,055","8,062","7,980","8,017","8,107","8,258","8,685","9,151","9,539","9,861","10,461","11,169","12,537","14,299","15,504"
30 to 34 years,"8,867","8,783","8,780","8,738","8,681","8,510","8,188","8,004","8,044","8,049","8,073","8,170","8,160","8,007","7,891","7,961","8,345","8,577","8,680","8,941","9,434","9,796","10,205","10,934","11,618","12,009"
35 to 39 years,"11,035","10,686","10,395","9,936","9,541","9,142","9,021","8,821","8,792","8,856","8,828","8,814","8,615","8,564","8,581","8,539","8,626","8,867","9,026","9,144","9,322","9,653","10,135","10,555","11,270","11,709"
40 to 44 years,"10,829","10,896","10,920","11,080","11,237","11,309","10,964","10,513","10,070","9,756","9,522","9,776","9,663","9,396","9,270","9,138","9,168","9,238","9,299","9,543","9,640","9,696","10,016","10,533","10,857","11,117"
45 to 49 years,"9,915","10,216","10,430","10,558","10,650","10,808","10,888","10,998","11,228","11,447","11,566","11,486","11,300","10,678","10,173","9,804","9,853","10,003","10,107","10,156","10,136","10,009","10,034","10,264","10,490","10,516"
50 to 54 years,"9,764","10,018","9,872","9,812","9,812","9,889","10,201","10,477","10,739","10,906","11,198","11,366","11,539","11,693","11,815","11,783","11,445","11,221","10,860","10,572","10,272","10,383","10,521","10,671","10,675","10,609"
55 to 59 years,"6,948","7,325","8,070","8,782","9,268","9,757","9,942","9,891","9,960","10,093","10,290","10,686","10,939","11,172","11,213","11,376","11,488","11,636","11,841","12,069","12,144","11,872","11,715","11,305","10,971","10,697"
60 to 64 years,"5,906","6,025","6,185","6,386","6,761","7,057","7,437","8,178","8,860","9,380","9,941","10,247","10,151","10,115","10,246","10,428","10,787","11,033","11,273","11,360","11,504","11,630","12,010","12,283","12,513","12,553"
65 to 69 years,"5,185","5,368","5,439","5,499","5,578","5,709","5,815","5,982","6,204","6,528","6,826","7,267","7,996","8,663","9,128","9,626","9,948","9,837","9,803","9,995","10,211","10,630","10,923","11,235","11,318","11,535"
70 to 74 years,"4,386","4,381","4,448","4,595","4,701","4,772","4,950","5,053","5,059","5,102","5,283","5,397","5,538","5,740","6,107","6,319","6,711","7,431","8,162","8,543","9,012","9,252","9,314","9,368","9,600","9,845"
75 to 79 years,"3,672","3,735","3,741","3,633","3,687","3,715","3,743","3,814","3,983","4,061","4,140","4,294","4,372","4,399","4,469","4,573","4,686","4,832","4,989","5,336","5,590","5,955","6,669","7,315","7,713","8,129"
80 to 84 years,"2,642","2,689","2,766","2,863","2,828","2,861","2,890","2,883","2,869","2,899","2,914","2,938","2,988","3,104","3,229","3,232","3,369","3,464","3,469","3,558","3,667","3,805","3,941","4,039","4,332","4,555"
85 to 89 years,"1,629","1,603","1,584","1,583","1,588","1,639","1,696","1,772","1,850","1,818","1,835","1,893","1,877","1,862","1,871","1,879","1,902","1,973","2,061","2,165","2,206","2,295","2,303","2,378","2,442","2,551"
90 to 94 years,609,643,670,684,694,726,767,747,741,737,793,845,899,913,886,895,928,942,962,955,952,988,"1,020","1,046","1,104","1,135"
95 to 99 years,150,157,160,176,184,187,175,196,201,231,242,223,235,248,259,237,266,275,259,277,309,319,299,289,277,291
100 years and older,32,32,30,26,21,27,41,43,37,28,20,27,33,46,39,33,35,43,39,46,46,49,54,59,63,64
,Years,,,,,,,,,,,,,,,,,,,,,,,,,
Median age,37.1,37.6,38.2,38.7,39.2,39.7,40.3,40.9,41.4,41.7,42,42.3,42.8,43.3,43.6,43.9,44,43.8,43.8,43.5,43.1,43,42.6,41.8,41.1,41
