Age group 3 6,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
,Persons,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"66,666","66,710","66,781","66,993","67,296","67,543","67,537","67,295","67,699","68,305","69,195","70,244","70,422","70,018","70,126","70,449","71,601","73,005","74,289","76,021","77,612","79,055","81,612","84,995","88,082","89,569"
0 to 4 years,"4,079","3,892","3,686","3,596","3,522","3,455","3,423","3,443","3,534","3,589","3,611","3,723","3,689","3,646","3,630","3,656","3,704","3,804","3,874","3,818","3,681","3,614","3,615","3,603","3,664","3,688"
5 to 9 years,"4,726","4,680","4,538","4,368","4,301","4,217","4,036","3,864","3,808","3,764","3,723","3,735","3,790","3,819","3,855","3,882","4,011","4,053","4,107","4,167","4,245","4,242","4,369","4,443","4,462","4,394"
10 to 14 years,"5,134","5,043","5,069","5,058","4,955","4,835","4,793","4,642","4,540","4,530","4,470","4,330","4,115","4,019","3,971","3,947","3,956","4,088","4,202","4,348","4,392","4,478","4,583","4,671","4,757","4,871"
15 to 19 years,"5,150","5,205","5,198","5,118","5,135","5,084","4,999","5,034","5,021","4,972","5,003","5,041","4,907","4,676","4,618","4,560","4,469","4,328","4,348","4,427","4,559","4,447","4,678","4,919","5,123","5,097"
20 to 24 years,"4,450","4,498","4,545","4,593","4,601","4,676","4,639","4,578","4,526","4,563","4,651","4,744","4,842","4,776","4,659","4,614","4,700","4,823","4,841","5,417","6,009","6,258","6,550","7,216","7,446","7,331"
25 to 29 years,"4,185","3,995","3,925","3,906","3,938","3,954","3,974","3,844","3,859","3,837","3,964","4,008","4,022","3,950","3,987","4,011","4,099","4,396","4,684","4,870","5,006","5,426","5,845","6,608","7,641","8,161"
30 to 34 years,"4,371","4,329","4,303","4,371","4,329","4,263","4,101","3,956","3,876","3,899","3,906","3,950","3,949","3,839","3,795","3,892","4,102","4,205","4,241","4,372","4,554","4,724","5,001","5,466","5,864","6,105"
35 to 39 years,"5,438","5,259","5,116","4,886","4,782","4,563","4,509","4,370","4,400","4,389","4,335","4,291","4,164","4,113","4,116","4,072","4,165","4,260","4,325","4,317","4,438","4,629","4,849","5,077","5,459","5,674"
40 to 44 years,"5,273","5,295","5,332","5,397","5,449","5,587","5,436","5,210","4,953","4,881","4,707","4,781","4,687","4,591","4,528","4,451","4,448","4,476","4,499","4,580","4,618","4,662","4,807","5,008","5,111","5,300"
45 to 49 years,"4,889","5,023","5,060","5,129","5,166","5,186","5,230","5,355","5,462","5,549","5,714","5,676","5,574","5,233","5,030","4,808","4,845","4,882","5,028","5,026","5,005","4,882","4,893","4,997","5,095","5,068"
50 to 54 years,"4,837","4,942","4,844","4,816","4,816","4,881","5,018","5,046","5,218","5,319","5,439","5,525","5,692","5,715","5,710","5,757","5,589","5,523","5,335","5,243","5,027","5,059","5,108","5,226","5,244","5,233"
55 to 59 years,"3,452","3,660","4,053","4,396","4,620","4,833","4,900","4,871","4,883","4,937","5,054","5,258","5,291","5,430","5,472","5,498","5,533","5,645","5,748","5,807","5,896","5,793","5,712","5,491","5,361","5,173"
60 to 64 years,"2,941","3,011","3,099","3,180","3,331","3,483","3,702","4,094","4,414","4,664","4,900","5,018","4,962","4,933","4,973","5,092","5,259","5,289","5,423","5,511","5,551","5,593","5,813","5,924","5,997","6,062"
65 to 69 years,"2,516","2,593","2,620","2,690","2,733","2,809","2,888","2,957","3,025","3,145","3,300","3,551","3,959","4,278","4,488","4,699","4,838","4,791","4,733","4,807","4,916","5,101","5,174","5,361","5,427","5,513"
70 to 74 years,"2,017","2,017","2,101","2,170","2,259","2,262","2,342","2,400","2,420","2,425","2,525","2,593","2,650","2,730","2,906","3,008","3,217","3,629","3,970","4,143","4,350","4,449","4,450","4,430","4,515","4,651"
75 to 79 years,"1,528","1,583","1,580","1,554","1,593","1,639","1,672","1,732","1,807","1,863","1,856","1,917","1,966","2,012","2,018","2,098","2,180","2,236","2,305","2,469","2,596","2,769","3,155","3,471","3,652","3,819"
80 to 84 years,950,962,983,"1,037","1,039","1,083","1,114","1,115","1,131","1,150","1,185","1,215","1,264","1,338","1,417","1,388","1,432","1,479","1,493","1,498","1,552","1,632","1,684","1,725","1,868","1,979"
85 to 89 years,516,492,498,505,512,528,537,554,584,590,601,635,616,627,660,710,714,748,771,839,846,888,899,934,933,977
90 to 94 years,175,189,189,181,175,167,178,186,192,194,212,212,232,235,240,251,273,276,299,294,294,316,347,341,380,382
95 to 99 years,36,39,36,36,36,34,39,36,43,44,35,40,50,53,51,52,60,65,52,58,67,83,74,76,71,79
100 years and older,3,3,6,6,4,4,7,8,3,1,4,1,1,5,2,3,7,9,11,10,10,10,6,8,12,12
,Years,,,,,,,,,,,,,,,,,,,,,,,,,
Median age,36.1,36.7,37.2,37.8,38.2,38.7,39.3,39.9,40.3,40.7,41,41.4,41.9,42.4,42.7,43,43,42.9,42.8,42.4,42.1,41.9,41.4,40.5,39.7,39.5
