Age group 3 6,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
,Persons,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"69,804","69,957","70,101","70,238","70,386","70,524","70,332","70,414","71,037","71,568","72,449","73,674","73,993","73,924","73,969","74,187","75,290","76,735","77,970","79,771","81,581","83,078","85,588","88,739","91,627","93,088"
0 to 4 years,"3,875","3,686","3,636","3,628","3,549","3,441","3,349","3,387","3,458","3,528","3,570","3,635","3,593","3,530","3,526","3,463","3,511","3,520","3,489","3,450","3,472","3,498","3,559","3,551","3,590","3,530"
5 to 9 years,"4,513","4,402","4,258","4,114","4,040","3,982","3,810","3,710","3,687","3,657","3,621","3,700","3,779","3,796","3,829","3,870","4,009","4,097","4,064","4,104","4,049","4,008","4,058","4,090","4,114","4,141"
10 to 14 years,"4,999","4,970","4,877","4,820","4,716","4,608","4,501","4,330","4,231","4,206","4,168","4,068","3,996","3,977","3,974","3,903","3,924","4,048","4,161","4,272","4,370","4,405","4,498","4,549","4,696","4,710"
15 to 19 years,"4,997","5,067","5,029","4,994","4,984","4,989","4,925","4,899","4,887","4,831","4,757","4,716","4,575","4,451","4,384","4,423","4,397","4,394","4,503","4,554","4,578","4,487","4,680","4,874","5,025","5,068"
20 to 24 years,"4,493","4,528","4,562","4,610","4,646","4,631","4,608","4,525","4,486","4,489","4,626","4,742","4,762","4,672","4,455","4,388","4,395","4,528","4,689","5,036","5,532","5,903","6,282","7,007","7,290","7,008"
25 to 29 years,"4,300","4,144","4,069","4,075","4,064","4,087","4,094","4,081","4,062","4,016","4,009","4,047","4,040","4,030","4,030","4,096","4,159","4,289","4,467","4,669","4,855","5,035","5,324","5,929","6,658","7,343"
30 to 34 years,"4,496","4,454","4,477","4,367","4,352","4,247","4,087","4,048","4,168","4,150","4,167","4,220","4,211","4,168","4,096","4,069","4,243","4,372","4,439","4,569","4,880","5,072","5,204","5,468","5,754","5,904"
35 to 39 years,"5,597","5,427","5,279","5,050","4,759","4,579","4,512","4,451","4,392","4,467","4,493","4,523","4,451","4,451","4,465","4,467","4,461","4,607","4,701","4,827","4,884","5,024","5,286","5,478","5,811","6,035"
40 to 44 years,"5,556","5,601","5,588","5,683","5,788","5,722","5,528","5,303","5,117","4,875","4,815","4,995","4,976","4,805","4,742","4,687","4,720","4,762","4,800","4,963","5,022","5,034","5,209","5,525","5,746","5,817"
45 to 49 years,"5,026","5,193","5,370","5,429","5,484","5,622","5,658","5,643","5,766","5,898","5,852","5,810","5,726","5,445","5,143","4,996","5,008","5,121","5,079","5,130","5,131","5,127","5,141","5,267","5,395","5,448"
50 to 54 years,"4,927","5,076","5,028","4,996","4,996","5,008","5,183","5,431","5,521","5,587","5,759","5,841","5,847","5,978","6,105","6,026","5,856","5,698","5,525","5,329","5,245","5,324","5,413","5,445","5,431","5,376"
55 to 59 years,"3,496","3,665","4,017","4,386","4,648","4,924","5,042","5,020","5,077","5,156","5,236","5,428","5,648","5,742","5,741","5,878","5,955","5,991","6,093","6,262","6,248","6,079","6,003","5,814","5,610","5,524"
60 to 64 years,"2,965","3,014","3,086","3,206","3,430","3,574","3,735","4,084","4,446","4,716","5,041","5,229","5,189","5,182","5,273","5,336","5,528","5,744","5,850","5,849","5,953","6,037","6,197","6,359","6,516","6,491"
65 to 69 years,"2,669","2,775","2,819","2,809","2,845","2,900","2,927","3,025","3,179","3,383","3,526","3,716","4,037","4,385","4,640","4,927","5,110","5,046","5,070","5,188","5,295","5,529","5,749","5,874","5,891","6,022"
70 to 74 years,"2,369","2,364","2,347","2,425","2,442","2,510","2,608","2,653","2,639","2,677","2,758","2,804","2,888","3,010","3,201","3,311","3,494","3,802","4,192","4,400","4,662","4,803","4,864","4,938","5,085","5,194"
75 to 79 years,"2,144","2,152","2,161","2,079","2,094","2,076","2,071","2,082","2,176","2,198","2,284","2,377","2,406","2,387","2,451","2,475","2,506","2,596","2,684","2,867","2,994","3,186","3,514","3,844","4,061","4,310"
80 to 84 years,"1,692","1,727","1,783","1,826","1,789","1,778","1,776","1,768","1,738","1,749","1,729","1,723","1,724","1,766","1,812","1,844","1,937","1,985","1,976","2,060","2,115","2,173","2,257","2,314","2,464","2,576"
85 to 89 years,"1,113","1,111","1,086","1,078","1,076","1,111","1,159","1,218","1,266","1,228","1,234","1,258","1,261","1,235","1,211","1,169","1,188","1,225","1,290","1,326","1,360","1,407","1,404","1,444","1,509","1,574"
90 to 94 years,434,454,481,503,519,559,589,561,549,543,581,633,667,678,646,644,655,666,663,661,658,672,673,705,724,753
95 to 99 years,114,118,124,140,148,153,136,160,158,187,207,183,185,195,208,185,206,210,207,219,242,236,225,213,206,212
100 years and older,29,29,24,20,17,23,34,35,34,27,16,26,32,41,37,30,28,34,28,36,36,39,48,51,51,52
,Years,,,,,,,,,,,,,,,,,,,,,,,,,
Median age,37.9,38.5,39,39.5,40.1,40.6,41.3,41.9,42.3,42.6,43,43.2,43.6,44.1,44.5,44.7,44.8,44.7,44.7,44.4,44.2,44.1,43.7,43.1,42.5,42.4
