Age_group,Year,Population,Sex
All ages,2000,136470,Total
All ages,2001,136667,Total
All ages,2002,136882,Total
All ages,2003,137231,Total
All ages,2004,137682,Total
All ages,2005,138067,Total
All ages,2006,137869,Total
All ages,2007,137709,Total
All ages,2008,138736,Total
All ages,2009,139873,Total
All ages,2010,141644,Total
All ages,2011,143918,Total
All ages,2012,144415,Total
All ages,2013,143942,Total
All ages,2014,144095,Total
All ages,2015,144636,Total
All ages,2016,146891,Total
All ages,2017,149740,Total
All ages,2018,152259,Total
All ages,2019,155792,Total
All ages,2020,159193,Total
All ages,2021,162133,Total
All ages,2022,167200,Total
All ages,2023,173734,Total
All ages,2024,179709,Total
All ages,2025,182657,Total
0 to 4 years,2000,7954,Total
0 to 4 years,2001,7578,Total
0 to 4 years,2002,7322,Total
0 to 4 years,2003,7224,Total
0 to 4 years,2004,7071,Total
0 to 4 years,2005,6896,Total
0 to 4 years,2006,6772,Total
0 to 4 years,2007,6830,Total
0 to 4 years,2008,6992,Total
0 to 4 years,2009,7117,Total
0 to 4 years,2010,7181,Total
0 to 4 years,2011,7358,Total
0 to 4 years,2012,7282,Total
0 to 4 years,2013,7176,Total
0 to 4 years,2014,7156,Total
0 to 4 years,2015,7119,Total
0 to 4 years,2016,7215,Total
0 to 4 years,2017,7324,Total
0 to 4 years,2018,7363,Total
0 to 4 years,2019,7268,Total
0 to 4 years,2020,7153,Total
0 to 4 years,2021,7112,Total
0 to 4 years,2022,7174,Total
0 to 4 years,2023,7154,Total
0 to 4 years,2024,7254,Total
0 to 4 years,2025,7218,Total
5 to 9 years,2000,9239,Total
5 to 9 years,2001,9082,Total
5 to 9 years,2002,8796,Total
5 to 9 years,2003,8482,Total
5 to 9 years,2004,8341,Total
5 to 9 years,2005,8199,Total
5 to 9 years,2006,7846,Total
5 to 9 years,2007,7574,Total
5 to 9 years,2008,7495,Total
5 to 9 years,2009,7421,Total
5 to 9 years,2010,7344,Total
5 to 9 years,2011,7435,Total
5 to 9 years,2012,7569,Total
5 to 9 years,2013,7615,Total
5 to 9 years,2014,7684,Total
5 to 9 years,2015,7752,Total
5 to 9 years,2016,8020,Total
5 to 9 years,2017,8150,Total
5 to 9 years,2018,8171,Total
5 to 9 years,2019,8271,Total
5 to 9 years,2020,8294,Total
5 to 9 years,2021,8250,Total
5 to 9 years,2022,8427,Total
5 to 9 years,2023,8533,Total
5 to 9 years,2024,8576,Total
5 to 9 years,2025,8535,Total
10 to 14 years,2000,10133,Total
10 to 14 years,2001,10013,Total
10 to 14 years,2002,9946,Total
10 to 14 years,2003,9878,Total
10 to 14 years,2004,9671,Total
10 to 14 years,2005,9443,Total
10 to 14 years,2006,9294,Total
10 to 14 years,2007,8972,Total
10 to 14 years,2008,8771,Total
10 to 14 years,2009,8736,Total
10 to 14 years,2010,8638,Total
10 to 14 years,2011,8398,Total
10 to 14 years,2012,8111,Total
10 to 14 years,2013,7996,Total
10 to 14 years,2014,7945,Total
10 to 14 years,2015,7850,Total
10 to 14 years,2016,7880,Total
10 to 14 years,2017,8136,Total
10 to 14 years,2018,8363,Total
10 to 14 years,2019,8620,Total
10 to 14 years,2020,8762,Total
10 to 14 years,2021,8883,Total
10 to 14 years,2022,9081,Total
10 to 14 years,2023,9220,Total
10 to 14 years,2024,9453,Total
10 to 14 years,2025,9581,Total
15 to 19 years,2000,10147,Total
15 to 19 years,2001,10272,Total
15 to 19 years,2002,10227,Total
15 to 19 years,2003,10112,Total
15 to 19 years,2004,10119,Total
15 to 19 years,2005,10073,Total
15 to 19 years,2006,9924,Total
15 to 19 years,2007,9933,Total
15 to 19 years,2008,9908,Total
15 to 19 years,2009,9803,Total
15 to 19 years,2010,9760,Total
15 to 19 years,2011,9757,Total
15 to 19 years,2012,9482,Total
15 to 19 years,2013,9127,Total
15 to 19 years,2014,9002,Total
15 to 19 years,2015,8983,Total
15 to 19 years,2016,8866,Total
15 to 19 years,2017,8722,Total
15 to 19 years,2018,8851,Total
15 to 19 years,2019,8981,Total
15 to 19 years,2020,9137,Total
15 to 19 years,2021,8934,Total
15 to 19 years,2022,9358,Total
15 to 19 years,2023,9793,Total
15 to 19 years,2024,10148,Total
15 to 19 years,2025,10165,Total
20 to 24 years,2000,8943,Total
20 to 24 years,2001,9026,Total
20 to 24 years,2002,9107,Total
20 to 24 years,2003,9203,Total
20 to 24 years,2004,9247,Total
20 to 24 years,2005,9307,Total
20 to 24 years,2006,9247,Total
20 to 24 years,2007,9103,Total
20 to 24 years,2008,9012,Total
20 to 24 years,2009,9052,Total
20 to 24 years,2010,9277,Total
20 to 24 years,2011,9486,Total
20 to 24 years,2012,9604,Total
20 to 24 years,2013,9448,Total
20 to 24 years,2014,9114,Total
20 to 24 years,2015,9002,Total
20 to 24 years,2016,9095,Total
20 to 24 years,2017,9351,Total
20 to 24 years,2018,9530,Total
20 to 24 years,2019,10453,Total
20 to 24 years,2020,11541,Total
20 to 24 years,2021,12161,Total
20 to 24 years,2022,12832,Total
20 to 24 years,2023,14223,Total
20 to 24 years,2024,14736,Total
20 to 24 years,2025,14339,Total
25 to 29 years,2000,8485,Total
25 to 29 years,2001,8139,Total
25 to 29 years,2002,7994,Total
25 to 29 years,2003,7981,Total
25 to 29 years,2004,8002,Total
25 to 29 years,2005,8041,Total
25 to 29 years,2006,8068,Total
25 to 29 years,2007,7925,Total
25 to 29 years,2008,7921,Total
25 to 29 years,2009,7853,Total
25 to 29 years,2010,7973,Total
25 to 29 years,2011,8055,Total
25 to 29 years,2012,8062,Total
25 to 29 years,2013,7980,Total
25 to 29 years,2014,8017,Total
25 to 29 years,2015,8107,Total
25 to 29 years,2016,8258,Total
25 to 29 years,2017,8685,Total
25 to 29 years,2018,9151,Total
25 to 29 years,2019,9539,Total
25 to 29 years,2020,9861,Total
25 to 29 years,2021,10461,Total
25 to 29 years,2022,11169,Total
25 to 29 years,2023,12537,Total
25 to 29 years,2024,14299,Total
25 to 29 years,2025,15504,Total
30 to 34 years,2000,8867,Total
30 to 34 years,2001,8783,Total
30 to 34 years,2002,8780,Total
30 to 34 years,2003,8738,Total
30 to 34 years,2004,8681,Total
30 to 34 years,2005,8510,Total
30 to 34 years,2006,8188,Total
30 to 34 years,2007,8004,Total
30 to 34 years,2008,8044,Total
30 to 34 years,2009,8049,Total
30 to 34 years,2010,8073,Total
30 to 34 years,2011,8170,Total
30 to 34 years,2012,8160,Total
30 to 34 years,2013,8007,Total
30 to 34 years,2014,7891,Total
30 to 34 years,2015,7961,Total
30 to 34 years,2016,8345,Total
30 to 34 years,2017,8577,Total
30 to 34 years,2018,8680,Total
30 to 34 years,2019,8941,Total
30 to 34 years,2020,9434,Total
30 to 34 years,2021,9796,Total
30 to 34 years,2022,10205,Total
30 to 34 years,2023,10934,Total
30 to 34 years,2024,11618,Total
30 to 34 years,2025,12009,Total
35 to 39 years,2000,11035,Total
35 to 39 years,2001,10686,Total
35 to 39 years,2002,10395,Total
35 to 39 years,2003,9936,Total
35 to 39 years,2004,9541,Total
35 to 39 years,2005,9142,Total
35 to 39 years,2006,9021,Total
35 to 39 years,2007,8821,Total
35 to 39 years,2008,8792,Total
35 to 39 years,2009,8856,Total
35 to 39 years,2010,8828,Total
35 to 39 years,2011,8814,Total
35 to 39 years,2012,8615,Total
35 to 39 years,2013,8564,Total
35 to 39 years,2014,8581,Total
35 to 39 years,2015,8539,Total
35 to 39 years,2016,8626,Total
35 to 39 years,2017,8867,Total
35 to 39 years,2018,9026,Total
35 to 39 years,2019,9144,Total
35 to 39 years,2020,9322,Total
35 to 39 years,2021,9653,Total
35 to 39 years,2022,10135,Total
35 to 39 years,2023,10555,Total
35 to 39 years,2024,11270,Total
35 to 39 years,2025,11709,Total
40 to 44 years,2000,10829,Total
40 to 44 years,2001,10896,Total
40 to 44 years,2002,10920,Total
40 to 44 years,2003,11080,Total
40 to 44 years,2004,11237,Total
40 to 44 years,2005,11309,Total
40 to 44 years,2006,10964,Total
40 to 44 years,2007,10513,Total
40 to 44 years,2008,10070,Total
40 to 44 years,2009,9756,Total
40 to 44 years,2010,9522,Total
40 to 44 years,2011,9776,Total
40 to 44 years,2012,9663,Total
40 to 44 years,2013,9396,Total
40 to 44 years,2014,9270,Total
40 to 44 years,2015,9138,Total
40 to 44 years,2016,9168,Total
40 to 44 years,2017,9238,Total
40 to 44 years,2018,9299,Total
40 to 44 years,2019,9543,Total
40 to 44 years,2020,9640,Total
40 to 44 years,2021,9696,Total
40 to 44 years,2022,10016,Total
40 to 44 years,2023,10533,Total
40 to 44 years,2024,10857,Total
40 to 44 years,2025,11117,Total
45 to 49 years,2000,9915,Total
45 to 49 years,2001,10216,Total
45 to 49 years,2002,10430,Total
45 to 49 years,2003,10558,Total
45 to 49 years,2004,10650,Total
45 to 49 years,2005,10808,Total
45 to 49 years,2006,10888,Total
45 to 49 years,2007,10998,Total
45 to 49 years,2008,11228,Total
45 to 49 years,2009,11447,Total
45 to 49 years,2010,11566,Total
45 to 49 years,2011,11486,Total
45 to 49 years,2012,11300,Total
45 to 49 years,2013,10678,Total
45 to 49 years,2014,10173,Total
45 to 49 years,2015,9804,Total
45 to 49 years,2016,9853,Total
45 to 49 years,2017,10003,Total
45 to 49 years,2018,10107,Total
45 to 49 years,2019,10156,Total
45 to 49 years,2020,10136,Total
45 to 49 years,2021,10009,Total
45 to 49 years,2022,10034,Total
45 to 49 years,2023,10264,Total
45 to 49 years,2024,10490,Total
45 to 49 years,2025,10516,Total
50 to 54 years,2000,9764,Total
50 to 54 years,2001,10018,Total
50 to 54 years,2002,9872,Total
50 to 54 years,2003,9812,Total
50 to 54 years,2004,9812,Total
50 to 54 years,2005,9889,Total
50 to 54 years,2006,10201,Total
50 to 54 years,2007,10477,Total
50 to 54 years,2008,10739,Total
50 to 54 years,2009,10906,Total
50 to 54 years,2010,11198,Total
50 to 54 years,2011,11366,Total
50 to 54 years,2012,11539,Total
50 to 54 years,2013,11693,Total
50 to 54 years,2014,11815,Total
50 to 54 years,2015,11783,Total
50 to 54 years,2016,11445,Total
50 to 54 years,2017,11221,Total
50 to 54 years,2018,10860,Total
50 to 54 years,2019,10572,Total
50 to 54 years,2020,10272,Total
50 to 54 years,2021,10383,Total
50 to 54 years,2022,10521,Total
50 to 54 years,2023,10671,Total
50 to 54 years,2024,10675,Total
50 to 54 years,2025,10609,Total
55 to 59 years,2000,6948,Total
55 to 59 years,2001,7325,Total
55 to 59 years,2002,8070,Total
55 to 59 years,2003,8782,Total
55 to 59 years,2004,9268,Total
55 to 59 years,2005,9757,Total
55 to 59 years,2006,9942,Total
55 to 59 years,2007,9891,Total
55 to 59 years,2008,9960,Total
55 to 59 years,2009,10093,Total
55 to 59 years,2010,10290,Total
55 to 59 years,2011,10686,Total
55 to 59 years,2012,10939,Total
55 to 59 years,2013,11172,Total
55 to 59 years,2014,11213,Total
55 to 59 years,2015,11376,Total
55 to 59 years,2016,11488,Total
55 to 59 years,2017,11636,Total
55 to 59 years,2018,11841,Total
55 to 59 years,2019,12069,Total
55 to 59 years,2020,12144,Total
55 to 59 years,2021,11872,Total
55 to 59 years,2022,11715,Total
55 to 59 years,2023,11305,Total
55 to 59 years,2024,10971,Total
55 to 59 years,2025,10697,Total
60 to 64 years,2000,5906,Total
60 to 64 years,2001,6025,Total
60 to 64 years,2002,6185,Total
60 to 64 years,2003,6386,Total
60 to 64 years,2004,6761,Total
60 to 64 years,2005,7057,Total
60 to 64 years,2006,7437,Total
60 to 64 years,2007,8178,Total
60 to 64 years,2008,8860,Total
